"Time (s)","CPU (%)","MEM (kB)"
0,2641,419885
6,2724,508353
11,2973,522821
16,2860,539097
21,3599,539469
26,3938,548649
32,3974,581901
37,3985,575409
42,3983,580313
47,3987,626805
53,3983,585497
58,3652,587300
63,2648,589089
69,2799,592661
74,2994,592669
79,2863,593305
84,3670,593469
89,3774,596569
95,3842,599176
100,3928,629201
105,3936,631405
110,3973,633281
116,3988,628993
121,3537,625005
126,2634,613365
131,2821,615409
136,2896,611041
142,2858,611609
147,3701,598021
152,3805,634001
157,3828,727353
162,3887,689237
168,3919,642189
173,3891,642253
178,3879,638453
183,3224,628672
188,2766,639941
194,2826,595976
199,3023,604704
204,2932,613400
209,3735,610476
214,3753,620397
220,3837,620677
225,3898,639457
230,3923,639705
235,3907,607024
241,3872,641549
246,3055,667185
251,2750,633465
256,2861,633472
262,2895,630145
267,3071,623577
272,3749,630081
277,3791,628305
282,3804,628333
287,3868,628365
293,3862,628417
298,3841,628445
303,3839,661577
308,2898,619229
314,2852,623813
319,2878,624413
324,2887,626996
329,3144,624132
334,3765,650481
340,3799,648681
345,3824,668417
350,3891,657497
355,3905,664605
360,3918,664677
366,3566,653673
371,3013,645477
376,2836,624365
381,2906,639145
386,2867,612425
392,3206,616625
397,3792,617233
402,3803,617293
407,3811,617321
412,3856,618009
418,3863,619109
423,3900,614853
428,3524,615213
433,2888,620913
438,2985,630317
444,2816,632925
449,2853,602425
454,3234,627489
459,3729,665041
464,3843,640093
470,3831,667349
475,3898,609065
480,3864,711197
485,3884,644109
491,3225,644120
496,3019,650968
501,2868,645928
506,3016,597233
511,2894,639173
516,3353,632017
522,3799,642032
527,3791,642037
532,3780,642041
537,3852,638173
543,3879,638185
548,3874,617785
553,3097,619781
558,2858,655033
563,2960,646461
569,2972,623285
574,2945,614317
579,3406,612804
584,3736,645269
589,3840,629929
595,3783,629929
600,3720,671105
